"","data_date","ID","Payment","Payment.Date"
"1167","2011-06-14",102,20,"2011-04-19"
"1169","2011-06-14",109,4.25,"2011-05-26"
"1175","2011-06-14",120,20,"2011-06-10"
"1177","2011-06-14",122,20,"2011-04-20"
"1179","2011-06-14",126,20,"2011-06-06"
"1188","2011-06-14",137,40,"2011-04-19"
"1191","2011-06-14",147,20,"2011-05-25"
"1202","2011-06-14",172,20,"2011-04-20"
"1208","2011-06-14",182,20,"2011-06-09"
"1211","2011-06-14",186,5,"2011-04-25"
"1212","2011-06-14",188,20,"2011-05-03"
"1219","2011-06-14",199,20,"2011-05-31"
"1229","2011-06-14",211,5,"2011-06-12"
"1232","2011-06-14",219,20,"2011-06-01"
"1242","2011-06-14",231,25,"2011-05-03"
"1245","2011-06-14",238,20,"2011-04-21"
"1246","2011-06-14",240,20,"2011-04-19"
"1247","2011-06-14",242,20,"2011-04-18"
"1255","2011-07-15",7,40,"2011-07-11"
"1261","2011-07-15",17,15.22,"2011-06-14"
"1280","2011-07-15",49,40,"2011-07-15"
"1281","2011-07-15",51,20,"2011-06-14"
"1283","2011-07-15",55,20,"2011-07-12"
"1296","2011-07-15",76,20,"2011-06-16"
"1297","2011-07-15",77,20,"2011-06-27"
"1302","2011-07-15",84,10,"2011-06-16"
"1307","2011-07-15",94,20,"2011-07-05"
"1308","2011-07-15",96,5,"2011-06-29"
"1309","2011-07-15",99,5.22,"2011-07-15"
"1323","2011-07-15",124,5,"2011-06-30"
"1328","2011-07-15",130,18.6,"2011-07-05"
"1332","2011-07-15",136,11.4,"2011-07-05"
"1335","2011-07-15",142,20,"2011-06-16"
"1337","2011-07-15",147,20,"2011-07-13"
"1348","2011-07-15",172,20,"2011-06-16"
"1364","2011-07-15",198,23,"2011-07-15"
"1367","2011-07-15",202,20,"2011-07-12"
"1374","2011-07-15",210,5,"2011-07-16"
"1375","2011-07-15",211,20,"2011-07-04"
"1393","2011-07-15",240,20,"2011-06-16"
"1398","2011-07-15",248,20,"2011-07-02"
"1408","2011-08-19",16,5,"2011-08-01"
"1420","2011-08-19",37,4,"2011-07-28"
"1431","2011-08-19",55,20,"2011-08-15"
"1433","2011-08-19",57,20,"2011-08-03"
"1445","2011-08-19",77,20,"2011-07-25"
"1451","2011-08-19",89,15,"2011-08-02"
"1461","2011-08-19",102,10,"2011-08-15"
"1467","2011-08-19",117,10,"2011-08-10"
"1473","2011-08-19",126,5,"2011-08-19"
"1479","2011-08-19",133,20,"2011-08-01"
"1484","2011-08-19",142,6,"2011-08-19"
"1488","2011-08-19",156,6,"2011-08-19"
"1491","2011-08-19",161,40,"2011-07-21"
"1500","2011-08-19",174,20,"2011-07-21"
"1504","2011-08-19",182,20,"2011-08-15"
