1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4B0000002F70E121
Is Mission Active?  true
Mission Start:  Tue Jun 18 13:00:00 GMT-03:00 2013
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  34393
Total Samples:  36206
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
18/06/13 5:54:00 PM,C,42.5
18/06/13 5:55:00 PM,C,42.5
18/06/13 5:56:00 PM,C,42.5
18/06/13 5:57:00 PM,C,43
18/06/13 5:58:00 PM,C,42.5
18/06/13 5:59:00 PM,C,42.5
18/06/13 6:00:00 PM,C,42.5
18/06/13 6:01:00 PM,C,42.5
18/06/13 6:02:00 PM,C,42.5
18/06/13 6:03:00 PM,C,42.5
18/06/13 6:04:00 PM,C,42.5
18/06/13 6:05:00 PM,C,42.5
18/06/13 6:06:00 PM,C,42.5
18/06/13 6:07:00 PM,C,42.5
18/06/13 6:08:00 PM,C,42.5
18/06/13 6:09:00 PM,C,42.5
18/06/13 6:10:00 PM,C,42.5
18/06/13 6:11:00 PM,C,42.5
18/06/13 6:12:00 PM,C,42.5
18/06/13 6:13:00 PM,C,42.5
18/06/13 6:14:00 PM,C,42.5
18/06/13 6:15:00 PM,C,43
18/06/13 6:16:00 PM,C,43
18/06/13 6:17:00 PM,C,43
18/06/13 6:18:00 PM,C,42.5
18/06/13 6:19:00 PM,C,42.5
18/06/13 6:20:00 PM,C,42.5
18/06/13 6:21:00 PM,C,42.5
18/06/13 6:22:00 PM,C,42.5
18/06/13 6:23:00 PM,C,43
18/06/13 6:24:00 PM,C,42.5
18/06/13 6:25:00 PM,C,42.5
18/06/13 6:26:00 PM,C,42.5
18/06/13 6:27:00 PM,C,42.5
18/06/13 6:28:00 PM,C,42.5
18/06/13 6:29:00 PM,C,42.5
18/06/13 6:30:00 PM,C,42.5
18/06/13 6:31:00 PM,C,42.5
18/06/13 6:32:00 PM,C,42.5
18/06/13 6:33:00 PM,C,42.5
18/06/13 6:34:00 PM,C,42.5
18/06/13 6:35:00 PM,C,42.5
18/06/13 6:36:00 PM,C,42.5
18/06/13 6:37:00 PM,C,42.5
18/06/13 6:38:00 PM,C,42.5
18/06/13 6:39:00 PM,C,42.5
18/06/13 6:40:00 PM,C,42.5
